00:02:BF,dotRocket,
00:02:C0,Bencent
00:02:C1,Innovative
00:02:C2,Net
00:02:C3,Arelnet
00:02:C4,Vector
00:02:C5,Evertz
00:02:C6,Data
00:02:C7,ALPS
00:02:C8,Technocom
00:02:C9,Mellanox
00:02:CA,EndPoints,
00:02:CB,TriState
00:02:CC,M.C.C.I
00:02:CD,TeleDream,
00:02:CE,FoxJet,
00:02:CF,ZyGate
00:02:D0,Comdial
00:02:D1,Vivotek,
00:02:D2,Workstation
00:02:D3,NetBotz,
00:02:D4,PDA
00:02:D5,ACR
00:02:D6,NICE
00:02:D7,EMPEG
00:02:D8,BRECIS
00:02:D9,Reliable
00:02:DA,ExiO
00:02:DB,NETSEC
00:02:DC,Fujitsu
00:02:DD,Bromax
00:02:DE,Astrodesign,
00:02:DF,Net
00:02:E0,ETAS
00:02:E1,Integrated
00:02:E2,NDC
00:02:E3,LITE-ON
00:02:E4,JC
00:02:E5,Timeware
00:02:E6,Gould
00:02:E7,CAB
00:02:E8,E.D.&A.
00:02:E9,CS
00:02:EA,Focus
00:02:EB,Pico
00:02:EC,Maschoff
00:02:ED,DXO
00:02:EE,Nokia
00:02:EF,CCC
00:02:F0,AME
00:02:F1,Pinetron
00:02:F2,eDevice,
00:02:F3,Media
00:02:F4,PCTEL,
00:02:F5,VIVE
00:02:F6,Equipe
00:02:F7,ARM
00:02:F8,SEAKR
00:02:F9,MIMOS
00:02:FA,DX
00:02:FB,Baumuller
00:02:FC,CISCO
00:02:FD,CISCO
00:02:FE,Viditec,
00:02:FF,Handan
00:03:00,Barracuda
00:03:01,EXFO
00:03:02,Charles
00:03:03,JAMA
00:03:04,Pacific
00:03:05,MSC
00:03:06,Fusion
00:03:07,Secure
00:03:08,AM
00:03:09,Texcel
00:03:0A,Argus
00:03:0B,Hunter
00:03:0C,Telesoft
00:03:0D,Uniwill
00:03:0E,Core
00:03:0F,Digital
00:03:10,E-Globaledge
00:03:11,Micro
00:03:12,TR-Systemtechnik
00:03:13,Access
00:03:14,Teleware
00:03:15,Cidco
00:03:16,Nobell
00:03:17,Merlin
00:03:18,Cyras
00:03:19,Infineon
00:03:1A,Beijing
00:03:1B,Cellvision
00:03:1C,Svenska
00:03:1D,Taiwan
00:03:1E,Optranet,
00:03:1F,Condev
00:03:20,Xpeed,
00:03:21,Reco
00:03:22,IDIS
00:03:23,Cornet
00:03:24,SANYO
00:03:25,Arima
00:03:26,Iwasaki
00:03:27,ACT'L
